Pressure(kpa),Production(MMSCF),Pressure(psi) 
15596.22157,0,2262.04073
15006.13583,0,2176.456027
15006.13583,0,2176.456027
15731.72202,0.038076,2281.693408
15164.5603,6.273443,2199.433554
15445.53651,6.814967,2240.185709
15633.65552,7.526165,2267.470064
15936.681,7.526165,2311.420196
15982.60358,7.526165,2318.080703
16011.41356,11.441618,2322.259237
15835.50383,11.441618,2296.745688
15815.89053,22.203017,2293.901019
14611.9085,85.159666,2119.278186
13412.6415,112.105751,1945.339211
14000.03728,123.921874,2030.533767
12345.67798,178.588343,1790.589233
12515.52132,178.588343,1815.222927
11507.9606,214.933071,1669.088597
11617.27827,217.307056,1684.943785
11697.45842,220.139931,1696.572933
9879.076033,295.489437,1432.838861
8775.686692,317.805391,1272.805765
9601.265406,317.805391,1392.545836
9482.648091,317.805391,1375.341848
9037.383031,352.968405,1310.76161
8162.86423,427.052371,1183.92338
7955.399646,430.987027,1153.833185
